ProductKey,ProductID,ProductNumber,ProductName,CategoryId,Category,Subcategory,ProductLine,Cost,Maintenance
1,601,BB-7421,LL Bottom Bracket,CO_BB,Components,Bottom Brackets,n/a,24,Yes
2,602,BB-8107,ML Bottom Bracket,CO_BB,Components,Bottom Brackets,n/a,45,Yes
3,603,BB-9108,HL Bottom Bracket,CO_BB,Components,Bottom Brackets,n/a,54,Yes
4,478,BC-M005,Mountain Bottle Cage,AC_BC,Accessories,Bottles and Cages,Mountain,4,No
5,479,BC-R205,Road Bottle Cage,AC_BC,Accessories,Bottles and Cages,Road,3,No
6,596,BK-M18B-40,Mountain-500 Black- 40,BI_MB,Bikes,Mountain Bikes,Mountain,295,Yes
7,597,BK-M18B-42,Mountain-500 Black- 42,BI_MB,Bikes,Mountain Bikes,Mountain,295,Yes
8,598,BK-M18B-44,Mountain-500 Black- 44,BI_MB,Bikes,Mountain Bikes,Mountain,295,Yes
9,599,BK-M18B-48,Mountain-500 Black- 48,BI_MB,Bikes,Mountain Bikes,Mountain,295,Yes
10,600,BK-M18B-52,Mountain-500 Black- 52,BI_MB,Bikes,Mountain Bikes,Mountain,295,Yes
11,591,BK-M18S-40,Mountain-500 Silver- 40,BI_MB,Bikes,Mountain Bikes,Mountain,308,Yes
12,592,BK-M18S-42,Mountain-500 Silver- 42,BI_MB,Bikes,Mountain Bikes,Mountain,308,Yes
13,593,BK-M18S-44,Mountain-500 Silver- 44,BI_MB,Bikes,Mountain Bikes,Mountain,308,Yes
14,594,BK-M18S-48,Mountain-500 Silver- 48,BI_MB,Bikes,Mountain Bikes,Mountain,308,Yes
15,595,BK-M18S-52,Mountain-500 Silver- 52,BI_MB,Bikes,Mountain Bikes,Mountain,308,Yes
16,587,BK-M38S-38,Mountain-400-W Silver- 38,BI_MB,Bikes,Mountain Bikes,Mountain,420,Yes
17,588,BK-M38S-40,Mountain-400-W Silver- 40,BI_MB,Bikes,Mountain Bikes,Mountain,420,Yes
18,589,BK-M38S-42,Mountain-400-W Silver- 42,BI_MB,Bikes,Mountain Bikes,Mountain,420,Yes
19,590,BK-M38S-46,Mountain-400-W Silver- 46,BI_MB,Bikes,Mountain Bikes,Mountain,420,Yes
